lopCQId,tenLop,tenKhoa,sinhVien,,,,,,,,
,,,maSV,hoTen,gioiTinh,ngaySinh,phone,he,passWord,truong,email
CT5C,Lớp Ct5C,Công nghệ thông tin,,,,,,,,,
,,,CT050336,Tran Thi B,Nữ,2002-03-04,0123456780,Kỹ sư chính quy - k2020-2025,012345678,Hoc viện Kỹ thuật mật mã,tranthib@example.com
,,,CT050337,Le Van C,Nam,2002-03-05,0123456780,Kỹ sư chính quy - k2020-2026,012345678,Hoc viện Kỹ thuật mật mã,levanc@example.com
,,,CT050338,Pham Thi D,Nữ,2002-03-06,0123456780,Kỹ sư chính quy - k2020-2027,012345678,Hoc viện Kỹ thuật mật mã,phamthid@example.com
,,,CT050339,Hoang Van E,Nam,2002-03-07,0123456780,Kỹ sư chính quy - k2020-2028,012345678,Hoc viện Kỹ thuật mật mã,hoangvane@example.com
,,,CT050340,Vo Thi F,Nữ,2002-03-08,0123456780,Kỹ sư chính quy - k2020-2029,012345678,Hoc viện Kỹ thuật mật mã,votif@example.com
,,,CT050341,Do Van G,Nam,2002-03-09,0123456780,Kỹ sư chính quy - k2020-2030,012345678,Hoc viện Kỹ thuật mật mã,dovang@example.com
,,,CT050342,Bui Thi H,Nữ,2002-03-10,0123456780,Kỹ sư chính quy - k2020-2031,012345678,Hoc viện Kỹ thuật mật mã,buithih@example.com
,,,CT050343,Phan Van I,Nam,2002-03-11,0123456780,Kỹ sư chính quy - k2020-2032,012345678,Hoc viện Kỹ thuật mật mã,phanvani@example.com
,,,CT050344,Duong Thi J,Nữ,2002-03-12,0123456780,Kỹ sư chính quy - k2020-2033,012345678,Hoc viện Kỹ thuật mật mã,duongthij@example.com
CT5D,Lớp CT5D,Công nghệ thông tin,,,,,,,,,
,,,CT050346,Tran Thi L,Nữ,2002-03-14,0912345678,Kỹ sư chính quy - k2020-2033,012345678,Hoc viện Kỹ thuật mật mã,tranthil@example.com
,,,CT050347,Le Thi M,Nữ,2002-03-15,0923456780,Kỹ sư chính quy - k2020-2034,012345678,Hoc viện Kỹ thuật mật mã,lethim@example.com
,,,CT050348,Pham Van N,Nam,2002-03-16,0934567891,Kỹ sư chính quy - k2020-2035,012345678,Hoc viện Kỹ thuật mật mã,phamvann@example.com
,,,CT050349,Hoang Thi O,Nữ,2002-03-17,0945678902,Kỹ sư chính quy - k2020-2036,012345678,Hoc viện Kỹ thuật mật mã,hoangthiO@example.com
,,,CT050350,Vo Van P,Nam,2002-03-18,0956789013,Kỹ sư chính quy - k2020-2037,012345678,Hoc viện Kỹ thuật mật mã,vovap@example.com
,,,CT050351,Do Thi Q,Nữ,2002-03-19,0967890124,Kỹ sư chính quy - k2020-2038,012345678,Hoc viện Kỹ thuật mật mã,dothiq@example.com
,,,CT050352,Bui Van R,Nam,2002-03-20,0978901235,Kỹ sư chính quy - k2020-2039,012345678,Hoc viện Kỹ thuật mật mã,buivanr@example.com
  ,,,,,,,,,,,
    
